,Фрагмент,начало,конец,Активность,t_sample_start,t_sample_end,sample_time,К-во сэмплов,t_hand_start,t_hand_end,t_time,tstart,tend,start,end,Видео ученика,MAX_ENERGY_COLS,mp3_start,mp3_end,ID фрагмента,MP3 Смещение,N Повторений
0,Вступление,0,819,Демонстрация,,,,,0:00.00,0:27.48,"27,48",0,"27,48",0,810,,,"2,3","29,78",,"2,3",
1,"""Марш на месте""",820,2049,Запись,0:35.18,0:36.59,"1,41",29.0,0:27.48,1:08.23,"40,75","27,48","68,23",811,2039,Витя - Марш на месте.mp4,RIGHT_HEEL_y,"29,78","70,53",1000001.0,,32.0
2,"""Руки перед грудью - в стороны""",2050,2849,Демонстрация,,,,,1:08.23,1:34.07,"25,84","68,23","94,07",2040,2821,,,"70,53","96,37",,,
3,"""Руки перед грудью - в стороны""",2850,3601,Запись,1:49.00,1:54.71,"5,71",5.0,1:34.07,2:00.77,"26,7","94,07","120,77",2822,3622,Витя - руки в стороны - потягивания.mp4,RIGHT_WRIST_x,"96,37","123,07",1000002.0,,4.0
4,"""Повороты туловища с наклоном вперед""",3602,4824,Демонстрация,,,,,2:00.77,2:45.09,"44,32","120,77","165,09",3623,4951,,,"123,07","167,39",,,
5,"""Повороты туловища с наклоном вперед""",4825,6656,Запись,3:04.95,3:13.93,"8,98",6.0,2:45.09,3:39.67,"54,58","165,09","219,67",4952,6589,Витя - локоть к колену.mp4,RIGHT_ELBOW_x,"167,39","221,97",1000003.0,,7.0
6,"""Приседания на одно колено""",6657,7761,Демонстрация,,,,,3:39.67,4:19.68,"40,01","219,67","259,68",6590,7789,,,"221,97","261,98",,,
7,"""Приседания на одно колено""",7762,10868,Запись,4:19.68,4:34.73,"15,05",7.0,4:19.68,6:02.61,"102,93","259,68","362,61",7790,10877,Витя - приседания на одно колено.mp4,LEFT_KNEE_y,"261,98","364,91",1000004.0,,8.0
8,"""Поднимаем вытянутую ногу к противоположной руке""",10869,11840,Демонстрация,,,,,6:02.61,6:36.97,"34,36","362,61","396,97",10878,11871,,,"364,91","399,27",,,
9,"""Поднимаем вытянутую ногу к противоположной руке""",11841,13670,Запись,6:35.76,6:43.99,"8,23",7.0,6:36.97,7:34.55,"57,58","396,97","454,55",11872,13635,Витя - поднимаем прямую ногу.mp4,LEFT_HEEL_y,"399,27","456,85",1000005.0,,8.0
10,"""Сгибание ног лежа""",13671,14498,Демонстрация,,,,,7:34.55,8:04.59,"30,04","454,55","484,59",13636,14536,,,"456,85","486,89",,,
11,"""Сгибание ног лежа""",14499,17182,Запись,8:20.20,8:27.01,"6,81",13.0,8:04.59,9:35.63,"91,04","484,59","575,63",14537,17267,Витя - лежа поднимаем ноги.mp4,RIGHT_HEEL_y,"486,89","577,93",1000006.0,,11.0
12,"""Лежим на полу, ноги в стороны""",17183,17583,Демонстрация,,,,,9:35.63,9:45.66,"10,03","575,63","585,66",17268,17568,,,"577,93","587,96",,,
13,"""Лежим на полу, ноги в стороны""",17584,18555,Демонстрация,,,,,9:45.66,10:19.13,"33,47","585,66","619,13",17569,18572,Витя - лежа отдыхаем.mp4,,"587,96","621,43",,,
14,"""Наклоны в стороны с поднятыми руками""",18556,19793,Демонстрация,,,,,10:19.13,11:01.55,"42,42","619,13","661,55",18573,19772,,,"621,43","663,85",,,
15,"""Наклоны в стороны с поднятыми руками""",19794,21394,Запись,11:19.21,11:27.74,"8,53",6.0,11:01.55,11:55.23,"53,68","661,55","715,23",19773,21455,Витя - наклоны в стороны с поднятыми руками.mp4,LEFT_WRIST_x,"663,85","717,53",1000007.0,,6.0
16,"""Прыжки со скрещением ног""",21395,22252,Демонстрация,,,,,11:55.23,12:23.00,"27,77","715,23",743,21456,22244,,,"717,53","745,3",,,
17,"""Прыжки со скрещением ног""",22253,23494,Запись,12:34.11,12:36.46,"2,35",17.0,12:23.00,13:02.81,"39,81",743,"782,81",22245,23478,Витя - прыжки.mp4,RIGHT_HEEL_x,"745,3","785,11",1000008.0,,32.0
18,"""Марш на месте 2""",23495,25750,Запись,13:02.66,13:04.58,"1,92",41.0,13:02.81,14:21.50,"78,69","782,81","861,5",23479,25743,Витя - марш на месте 2.mp4,RIGHT_HEEL_y,"785,11","863,8",1000009.0,,50.0
19,"""Руки вверх - опускаем через стороны""",25751,26655,Запись,14:21.50,14:28.96,"7,46",4.0,14:21.50,14:54.73,"33,23","861,5","894,73",25744,26842,"Витя - руки вверх, через стороны вниз.mp4",RIGHT_WRIST_y,"863,8","897,03",1000010.0,,5.0
